econdata
Year,Area,Labor Force,Employment,Unemployment,Unemployment Rate
2019,Lanare CDP,100,100,0,0.0
2019,Lancaster city,"65,300","61,100","4,200",6.4
2019,La Palma city,"7,800","7,600",200,2.7
2019,La Porte CDP,0,0,0,0.0
2019,La Puente city,"19,100","18,300",900,4.5
2019,La Quinta city,"19,200","18,400",800,4.1
2019,La Riviera CDP,"5,800","5,600",200,3.2
2019,Larkspur city,"7,000","6,900",100,1.8
2019,Las Flores CDP,"3,100","3,000",0,0.9
2019,Las Lomas CDP,"2,200","2,000",200,7.7
2019,Lathrop city,"9,700","9,300",400,4.3
2019,Laton CDP,900,800,100,8.7
2019,La Verne city,"16,100","15,500",700,4.2
2019,Lawndale city,"16,700","16,000",700,4.1
2019,Laytonville CDP,460,420,50,10.1
2019,Lebec CDP,"1,000",800,100,13.4
2019,Le Grand CDP,800,700,100,10.6
2019,Lemon Cove CDP,100,100,0,3.1
2019,Lemon Grove city,"12,500","12,000",500,3.7
2019,Lemoore city,"12,100","11,500",700,5.6
2019,Lemoore Station CDP,"1,500","1,400",100,6.0
2019,Lennox CDP,"10,900","10,400",500,4.6
2019,Lenwood CDP,"1,700","1,700",0,1.0
2019,Lewiston CDP,460,440,30,5.4
2019,Lincoln city,"19,300","18,600",700,3.4
2019,Lincoln Village CDP,"2,100","2,000",100,5.2
2019,Linda CDP,"7,200","6,600",600,8.4
2019,Linden CDP,"1,000","1,000",0,2.2
2019,Lindsay city,"5,500","4,700",700,13.5
2019,Little Grass Valley CDP,0,0,0,0.0
2019,Littlerock CDP,600,600,100,9.5
2019,Live Oak CDP,"9,000","8,700",300,3.2
2019,Live Oak city,"4,000","3,800",300,6.4
2019,Livermore city,"48,500","47,300","1,200",2.5
2019,Livingston city,"6,700","6,400",300,4.0
2019,Lockeford CDP,"1,500","1,400",100,6.4
2019,Lodi city,"30,000","28,300","1,700",5.7
2019,Loma Linda city,"11,100","10,800",300,2.4
2019,Loma Rica CDP,"1,200","1,200",0,2.0
2019,Lomita city,"11,200","10,800",400,4.0
2019,Lompoc city,"17,300","16,400",900,5.0
2019,London CDP,700,600,100,14.3
2019,Lone Pine CDP,850,820,30,3.9
2019,Long Beach city,"239,800","228,900","10,900",4.6
2019,Loomis town,"3,200","3,100",100,3.7
2019,Los Alamitos city,"5,900","5,700",200,2.9
2019,Los Alamos CDP,900,900,0,3.8
2019,Los Altos city,"14,800","14,500",300,2.3
2019,Los Angeles city,"2,081,300","1,988,500","92,900",4.5
2019,Los Banos city,"17,000","15,400","1,700",9.9
2019,Los Gatos town,"16,200","15,800",400,2.5
2019,Los Molinos CDP,650,620,40,5.4
2019,Lost Hills CDP,900,900,0,2.9
2019,Lower Lake CDP,700,660,30,4.6
2019,Loyalton city,470,440,30,5.6
2019,Lucerne CDP,"1,320","1,280",40,2.7
2019,Lynwood city,"28,600","27,100","1,500",5.1
2019,McCloud CDP,380,340,40,10.8
2019,McFarland city,"5,800","5,200",600,9.9
2019,McKinleyville CDP,"7,500","7,300",200,2.6
2019,McKittrick CDP,0,0,0,0.0
2019,Madera city,"27,800","25,700","2,200",7.8
2019,Madera Acres CDP,"4,700","4,500",200,4.9
2019,Magalia CDP,"4,800","4,600",200,3.7
2019,Malibu city,"6,600","6,400",200,2.8
2019,Mammoth Lakes town,"5,510","5,490",20,0.3
2019,Manhattan Beach city,"19,900","19,200",600,3.2
2019,Manteca city,"37,700","36,000","1,700",4.4
2019,Manton CDP,110,110,10,5.4
2019,March AFB CDP,300,300,0,1.1
2019,Maricopa city,400,300,0,10.4
2019,Marina city,"12,800","12,400",400,3.1
2019,Marina del Rey CDP,"7,000","6,800",200,2.7
2019,Mariposa CDP,650,630,20,2.5
2019,Markleeville CDP,70,70,0,0.0
2019,Martinez city,"20,700","20,100",600,2.8
2019,Marysville city,"5,100","4,800",300,5.5
2019,Mayflower Village CDP,"3,100","3,000",100,2.9
2019,Maywood city,"12,400","11,900",500,4.1
2019,Meadow Valley CDP,210,160,50,24.5
2019,Meadow Vista CDP,"1,700","1,700",0,2.0
2019,Mecca CDP,"3,200","3,000",100,4.6
2019,Meiners Oaks CDP,"1,900","1,900",100,2.6
2019,Mendocino CDP,520,520,0,0.0
2019,Mendota city,"5,000","4,100",800,16.9
2019,Menifee City,"39,600","38,000","1,600",4.0
2019,Menlo Park city,"20,100","19,700",400,1.9
2019,Mentone CDP,"5,200","5,100",200,3.3
2019,Merced city,"34,300","32,000","2,300",6.6
2019,Mesa CDP,160,160,10,3.7
2019,Mesa Vista CDP,100,80,10,13.5
2019,Mettler CDP,100,100,0,16.0
2019,Middletown CDP,350,330,20,6.5
2019,Millbrae city,"12,900","12,700",300,2.0
2019,Mill Valley city,"7,100","7,000",100,1.5
2019,Milpitas city,"43,200","42,000","1,200",2.7
2019,Mineral CDP,110,100,10,9.3
2019,Mira Monte CDP,"3,500","3,400",200,4.3
2019,Mission Canyon CDP,"1,500","1,500",0,1.0
2019,Mission Hills CDP,"1,900","1,800",100,7.0
2019,Mission Viejo city,"49,900","48,500","1,400",2.8
2019,Mi Wuk Village CDP,400,360,40,9.6
2019,Modesto city,"95,100","89,900","5,200",5.5
2019,Mohawk Vista CDP,40,40,0,0.0
2019,Mojave CDP,"1,700","1,400",300,17.6
