"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","id"
"11","Albany city",2002,1.788,482,283,18,39,0,0,276,9,3,185,0.433609958506224,205256,43326.71,25788.29,0,4236.36,0,157787,4675,650,44582.85,133299,-0.849087136929461,0.62698068411567,-0.618423236514523,-0.618423236514523,-0.139502074688797,0.273679329244212,209176,134601,11
"12","Albion CDP",2002,1.815,4,4,0,0,0,0,0,0,1,3,0.25,1725,1725,0,0,0,0,0,0,1000,725,600,-0.6125,0.929923832006328,-0.4375,-0.4375,-0.175,0.268638542779451,28461,18777,12
"13","Alhambra city",2002,7.631,1414,1020,176,93,4,0,521,191,6,641,0.343705799151344,656036.27,291023.85,247751.96,250,20727.5,0,391397.33,104087.22,11750,146442.88,316583.08,-0.274306930693069,0.900854462197373,-0.207192362093352,-0.207192362093352,-0.0213437057991513,0.338909669826905,763588,255279,13
"14","Alhambra Valley CDP",2002,2.155,37,37,0,4,0,0,14,6,2,12,0.540540540540541,8336,8336,0,0,2200,0,3750,750,700,2286,3532,-0.225945945945946,0.840831134650114,-0.17027027027027,-0.17027027027027,-0.0494594594594595,0.278158088003786,174662,75962,14
"15","Aliso Viejo city",2002,7.472,802,607,67,26,24,1,94,105,5,618,0.188279301745636,396851,119146.9,96495.58,1631,5326,1500,149630,63163,3234.94,203930,121246.91,-0.0512967581047382,0.728081338978859,0.0360972568578554,0.0360972568578554,-0.00309226932668329,0.294604267403111,321827,98062,15
"16","Allendale CDP",2002,6.136,13,13,0,0,0,0,2,6,0,6,0.461538461538462,1391,1391,0,0,0,0,200,925,0,441,700,0.498461538461538,0.692722240558294,0.572307692307692,0.572307692307692,-0.0738461538461538,0.149473434737774,146298,89173,16
"17","Alondra Park CDP",2002,1.107,59,29,0,4,0,0,8,3,0,54,0.0847457627118644,11465.67,1071,0,0,176,0,1970.5,330,0,10115.67,390,-0.619661016949153,0.79857408721074,-0.416271186440678,-0.416271186440678,-0.0516949152542373,0.14406838106252,68505,24069,17
"18","Alpaugh CDP",2002,1.005,7,4,0,0,0,0,1,6,0,1,0,3700,1550,0,0,0,0,50,3650,0,250,0,0.72,0.985291834940288,0.718571428571429,0.718571428571429,0.00142857142857132,0.102050407712491,85552,31966,18
"19","Alpine CDP",2002,26.781,424,233,183,46,1,1,100,118,0,231,0.191037735849057,1611781.34,42606.34,1564325,200,6891,250,816281.63,432018.43,0,926388.28,420925.8,0.0973349056603774,0.555423056537805,0.145070754716981,0.145070754716981,-0.149693396226415,0.537147399639746,130284,54833,19
"20","Alpine Village CDP",2002,2.804,12,9,0,0,0,0,9,0,0,3,0.5,6365,3365,0,0,0,0,5850,0,0,515,3850,-1.07583333333333,0.355232531611551,-0.670833333333333,-0.670833333333333,-0.405,0.200703308846213,14027,9821,20
"21","Alta CDP",2002,2.384,8,5,0,1,0,0,0,5,0,6,0,530.91,297,0,0,25,0,0,297,0,403.91,0,0.58375,1.20851665276073,0.40125,0.40125,0.1825,0.284542238893078,79438,50863,21
"22","Alta Sierra CDP",2002,8.317,163,154,2,4,0,0,56,38,2,87,0.239263803680982,53892.99,32242.99,1150,0,100,0,16354,20889,5250,10606.99,24287.83,-0.330736196319018,0.907786997289106,-0.195398773006135,-0.195398773006135,-0.0144785276073619,0.226386410004787,130678,87522,22
"23","Altadena CDP",2002,8.713,1087,1028,9,113,5,0,275,136,10,693,0.25114995400184,291715.99,184848.61,1950,5485,19101.63,0,153676.09,34180,5450,155982.75,79363,-0.495326586936523,0.856228753718281,-0.268794848206072,-0.268794848206072,-0.0861913523459062,0.325804616961511,478029,197313,23
"24","Alto CDP",2002,0.126,74,74,0,6,0,2,35,1,1,17,0.351351351351351,33459,33459,0,0,1950,1000,25199,500,200,13450,8999,-0.865945945945946,0.25929260416059,-0.537567567567568,-0.537567567567568,-0.253783783783784,0.365020932793268,36632,13520,24
"25","Alturas city",2002,2.435,18,17,1,0,0,0,0,4,1,11,0.166666666666667,5095,1215,3880,0,0,0,0,635,200,180,700,-0.248888888888889,0.645699701544893,-0.0266666666666667,-0.0266666666666667,-0.0638888888888889,0.091145577730734,136647,89022,25
"26","Alum Rock CDP",2002,1.204,110,107,2,6,0,0,27,6,0,77,0.181818181818182,24580.43,20080.43,4000,0,912.4,0,16193.53,540,0,7186.9,10930,-0.355545454545455,0.581381755494057,-0.251272727272727,-0.251272727272727,-0.0271818181818182,0.297565448257461,248649,110790,26
"27","Amador City city",2002,0.314,6,6,0,0,0,0,3,0,0,6,0,652.5,652.5,0,0,0,0,102.5,0,0,652.5,0,-1.37166666666667,0.022286019533929,-0.753333333333333,-0.753333333333333,-0.166666666666667,0.161451747177498,98966,69761,27
"28","American Canyon city",2002,4.837,159,129,22,37,0,0,19,9,0,137,0.169811320754717,111098.48,11873.34,95615.14,0,18774.96,0,54777,1675,0,54323.48,32780,-0.168616352201258,0.685717288672291,-0.105094339622642,-0.105094339622642,0.0070440251572327,0.23210253479252,111182,44007,28
"29","Amesti CDP",2002,2.992,36,36,0,3,0,0,5,1,0,30,0.166666666666667,3255,3255,0,0,700,0,550,200,0,2505,650,-1.07166666666667,0.611959382405635,-0.616111111111111,-0.616111111111111,-0.0658333333333334,0.197084100975048,56169,29554,29
"30","Anaheim city",2002,49.835,4221,3160,404,271,56,1,476,771,32,3098,0.209902866619285,1876772.33,813133.13,502197.52,1560,107909.26,100,347846.54,565059.45,36950,1143613.58,564798.71,0.0577185501066098,0.856503435477753,0.099864960909737,0.099864960909737,-0.00596541104003791,0.302453627697849,2377248,783404,30
"31","Anderson city",2002,6.372,15,10,0,1,0,0,1,7,1,6,0.4,9300,1175,0,0,50,0,10,8450,50,790,8325,0.438,1.16059836783815,0.610666666666667,0.610666666666667,-0.172666666666667,0.330248102982908,209894,114759,31
"32","Angels city",2002,3.628,27,22,2,0,0,0,15,2,0,7,0.518518518518518,7247.5,3747.5,3000,0,0,0,2675,1600,0,1472.5,3675,-0.391481481481481,0.886686588041742,-0.191111111111111,-0.191111111111111,-0.20037037037037,0.45009812162274,562001,361613,32
"33","Angwin CDP",2002,4.829,29,23,1,6,0,0,3,1,0,25,0.0344827586206897,8126.36,6011.25,500,0,1330,0,1750,100,0,6276.36,100,0.483103448275862,0.907646499187698,0.344827586206897,0.344827586206897,0.0124137931034483,0.0739524544368973,82148,38751,33
"34","Antelope CDP",2002,6.837,407,372,9,56,2,0,32,22,0,355,0.275184275184275,96093,21530.25,6490,50,3801.91,0,16600,5225,0,73593,15146.26,-0.0354791154791155,0.575742573779523,-0.00628992628992629,-0.00628992628992629,-0.00515970515970516,0.173880406066084,401524,158547,34
"35","Antioch city",2002,28.349,1806,1490,142,188,6,0,143,99,1,1564,0.167774086378738,276568.25,102168.78,114330.3,170.46,12444.02,0,69881.92,39929.67,100,166549.16,97303.3,-0.150238095238095,0.618530470776701,-0.0866666666666667,-0.0866666666666667,-0.0335603543743079,0.245117199534602,902642,313824,35
"36","Anza CDP",2002,27.594,1,1,0,0,0,0,0,0,0,1,0,22.5,22.5,0,0,0,0,0,0,0,22.5,0,2.86,NA,2.7,2.7,0.16,NA,211193,112850,36
"37","Apple Valley town",2002,73.193,500,446,12,43,26,0,17,64,0,422,0.132,63762.38,42813.38,16700,580,2264.36,0,10498,23674,0,32276.38,25645.7,-0.00426000000000001,0.917759127457776,0.11426,0.11426,-0.00624000000000001,0.200000657313548,1674888,918357,37
"38","Aptos CDP",2002,6.354,258,249,0,13,1,6,97,40,0,157,0.406976744186047,87215.26,52763.13,0,100,4265,1190,47507.84,26636.42,0,22893.71,61337.55,-0.480813953488372,0.765029256249317,-0.354418604651163,-0.354418604651163,-0.0440697674418605,0.241810830203771,340311,204831,38
"39","Aptos Hills-Larkin Valley CDP",2002,9.245,51,51,0,2,0,0,20,18,1,9,0.666666666666667,54330,54330,0,0,2100,0,32200,20620,150,6055,30625,-0.494509803921569,0.979004215977623,-0.152156862745098,-0.152156862745098,-0.255686274509804,0.564943377346653,187838,116988,39
"40","Arbuckle CDP",2002,1.759,10,4,1,0,0,0,1,7,0,2,0.3,5898,1548,100,0,0,0,2500,2850,0,548,3500,0.725,0.832055687238941,0.476,0.476,0.241,0.423751761713808,224452,199595,40
"41","Arcadia city",2002,10.925,2261,1502,611,124,4,0,619,756,12,945,0.354268022998673,1431370.67,559307.41,697860.24,26000,118165,0,676844.31,482546.2,6500,519681.03,526109.15,0.134431667403804,0.807349644812602,0.126740380362671,0.126740380362671,-0.00947368421052632,0.452407069460053,576240,203472,41
"42","Arcata city",2002,9.097,301,259,10,30,0,0,126,40,0,149,0.465116279069767,763239.88,741719.28,10615,0,81021,0,74165.25,539854,0,662775.88,41655,-0.334152823920266,0.761944680778729,-0.205049833887043,-0.205049833887043,-0.0820265780730897,0.278364651655434,415107,186367,42
"43","Arden-Arcade CDP",2002,17.829,5074,3855,308,319,3,2,1044,939,54,3204,0.346866377611352,3783063.36,1432676.37,518788,650,88783.14,550,1875540.52,753463.39,28677.47,1578303.21,1322463.03,-0.186044540796216,0.824749424512412,-0.134810800157667,-0.134810800157667,-0.0339121009065826,0.409043213176575,1336690,534689,43
"44","Armona CDP",2002,1.904,3,3,0,1,0,0,1,1,0,2,0.333333333333333,525,525,0,0,75,0,250,75,0,275,250,-0.206666666666667,1.13231326642998,0.633333333333333,0.633333333333333,-0.84,0.976165969494942,134920,67994,44
"45","Arnold CDP",2002,14.788,23,23,0,3,0,0,3,16,1,9,0.173913043478261,6479,6479,0,0,130,0,2600,3179,400,3954,645,0.67695652173913,0.759930826891553,0.542608695652174,0.542608695652174,0.198260869565217,0.519542212598684,819345,530397,45
"46","Aromas CDP",2002,4.736,28,28,0,2,0,0,4,5,0,19,0.178571428571429,3453,3453,0,0,60,0,2550,325,0,578,275,0.0496428571428571,0.823382734203315,0.0860714285714286,0.0860714285714286,-0.0364285714285714,0.218076002478821,166226,84569,46
"47","Arroyo Grande city",2002,5.835,181,159,13,14,0,0,29,48,8,82,0.464088397790055,47086.45,38206.45,5380,0,7016,0,13160.25,7084,1199,20648.45,22349,0.450165745856354,1.013378000736,0.281546961325967,0.281546961325967,-0.0105524861878453,0.435267125844586,678099,412036,47
"48","Artesia city",2002,1.621,318,222,21,6,0,1,108,13,3,193,0.135220125786164,130039.16,63713.38,10852,0,1857,100,104711.3,7100,1250,18837.86,19051,-0.543553459119497,0.662770888826844,-0.45559748427673,-0.45559748427673,-0.0217610062893082,0.309576967066004,88439,27152,48
"49","Arvin city",2002,4.819,23,14,5,3,0,0,6,5,0,11,0.434782608695652,11800,5240,2060,0,700,0,4100,1450,0,6700,4480,0.325652173913043,1.05832554746962,0.216086956521739,0.216086956521739,-0.0143478260869566,0.734957179253301,193920,111956,49
"50","Ashland CDP",2002,1.838,184,148,5,12,0,3,16,3,0,166,0.119565217391304,18176.24,9757.37,2949.37,0,1319.5,108,4090.37,315,0,14076.87,1758,-0.294945652173913,0.757956699083735,-0.215163043478261,-0.215163043478261,-0.00880434782608696,0.27483862087046,143060,55405,50
"51","Atascadero city",2002,25.641,383,332,17,73,1,3,38,67,27,247,0.248041775456919,101691.73,47331.08,37800,100,11682,170,12540.25,24699,4420,63636.73,33210,0.0715926892950392,0.867539591956088,0.0956135770234987,0.0956135770234987,-0.0189556135770235,0.397737654088956,823744,501557,51
"52","Atherton town",2002,5.017,1812,1785,5,166,23,1,639,493,5,728,0.355408388520971,13840683.98,13639700.34,5600,41260,235023.38,160,11671978.23,606589.5,5950,1769955.25,6239509.26,-0.000838852097130252,0.945648677805825,0.153504415011038,0.153504415011038,-0.102682119205298,0.475245505969909,82970,31126,52
"53","Atwater city",2002,6.087,176,136,34,7,0,0,71,45,1,59,0.272727272727273,69371.5,30561.5,35560,0,1875,0,38893,25565,100,5028.5,19998,0.211875,0.568643906902327,0.179431818181818,0.179431818181818,0.0172159090909091,0.417062761946685,710720,322457,53
"54","Auberry CDP",2002,19.144,25,19,0,0,0,0,0,8,0,18,0.2,2513.26,1794,0,0,0,0,0,1145,0,1468.26,920,0.1304,0.710026290593055,0.132,0.132,-0.00960000000000001,0.414311477031472,145956,91678,54
"55","Auburn city",2002,7.138,745,431,158,27,1,0,134,133,17,499,0.198657718120805,202188.62,64445.16,41851.11,500,4186.2,0,63361.69,58411.66,4739.88,87429.38,43535.82,-0.182979865771812,0.738644305156618,-0.0746979865771812,-0.0746979865771812,-0.0528590604026846,0.396243805625308,435432,283211,55
"56","Auburn Lake Trails CDP",2002,12.727,63,61,0,5,0,0,4,13,0,52,0.206349206349206,7523,4523,0,0,1202.4,0,3400,1546,0,3459,893.76,-0.00841269841269841,0.616664300240405,0.10015873015873,0.10015873015873,-0.0319047619047619,0.164128756919457,89124,61551,56
"57","August CDP",2002,1.251,15,11,0,10,0,0,6,3,0,7,0.466666666666667,8355,905,0,0,805,0,3625,4450,0,3280,4950,-0.344,0.878568641110561,-0.0126666666666667,-0.0126666666666667,-0.0213333333333333,0.392225639627182,133594,31736,57
"58","Avalon city",2002,2.935,43,27,0,1,0,0,5,10,0,28,0.372093023255814,40176.32,13075,0,0,50,0,9750,2375,0,28051.32,8335.08,0.0969767441860465,0.998399993522305,0.116511627906977,0.116511627906977,0.0155813953488372,0.460818641764856,26660,9794,58
"59","Avenal city",2002,19.422,18,13,3,3,0,0,4,3,0,11,0.166666666666667,4824.32,1945,629.32,0,30,0,1000,2100,0,1724.32,250,0.311666666666667,0.610518102058552,0.186666666666667,0.186666666666667,0.118333333333333,0.416529781436489,228328,92746,59
"60","Avery CDP",2002,4.501,27,26,0,0,0,0,0,10,0,17,0.111111111111111,1847.42,1747.42,0,0,0,0,0,569,0,1278.42,170,0.963333333333333,0.187041747705199,0.345555555555556,0.345555555555556,0.0637037037037037,0.107672871668992,585573,379719,60
"61","Avilla Beach CDP",2002,6.011,94,91,2,3,0,0,22,14,15,32,0.404255319148936,20482,19132,1100,0,30,0,3260.5,4820,4600,1882,12200,-0.0604255319148936,0.875494225883967,-0.242659574468085,-0.242659574468085,0.0682978723404255,0.493516323874812,221086,141392,61
"62","Avocado Heights CDP",2002,2.706,152,140,3,2,0,0,16,5,0,130,0.0921052631578947,10350.26,4822.26,2400,0,600,0,6368,2450,0,1512.26,3473,-0.654802631578947,0.742771764785499,-0.221842105263158,-0.221842105263158,-0.121315789473684,0.248629845913242,136412,48778,62
"63","Azusa city",2002,9.656,342,196,37,10,0,0,59,43,0,243,0.216374269005848,296714.41,42398.2,20981.92,0,2289.03,0,209730,35231.52,0,63302.89,133173,-0.199239766081871,0.914836976229524,-0.0503508771929825,-0.0503508771929825,-0.0746491228070175,0.446074793166948,496332,165590,63
"64","Baker CDP",2002,2.688,3,2,0,0,0,0,0,0,0,3,0,215,115,0,0,0,0,0,0,0,215,0,0.536666666666667,1.33945262451993,0.553333333333333,0.553333333333333,-0.0166666666666666,0.0635085296108588,201166,112125,64
"65","Bakersfield city",2002,142.164,4648,2939,693,240,14,8,864,1627,24,2363,0.387693631669535,4118597.29,1220442.62,723769.4,2706.5,85083.74,1650,924519.72,1400575.7,18650,2245041.98,1733060.3,0.221241394148021,0.822808928911182,0.181064974182444,0.181064974182444,0.0112048192771084,0.387226611532777,3062830,1587442,65
"66","Baldwin Park city",2002,6.631,449,346,32,18,1,0,70,25,1,351,0.11358574610245,83962.66,37826.73,17380.49,16,956,0,34430,12849,500,33235.33,25450.82,-0.643363028953229,0.794420585443578,-0.305389755011136,-0.305389755011136,-0.0976614699331848,0.308883518496421,428890,142154,66
"67","Ballard CDP",2002,1.18,4,4,0,0,0,0,3,0,0,1,0.25,1000,1000,0,0,0,0,750,0,0,250,250,-0.16,0,-0.56,-0.56,0.44,0.389957262615619,259057,187655,67
"68","Ballico CDP",2002,3.022,5,3,2,1,0,0,0,1,0,4,0.2,1116,816,300,0,100,0,0,200,0,916,100,0.396,1.02977181938525,0.33,0.33,0.066,0.137949266036467,83583,42204,68
"69","Bangor CDP",2002,13.423,30,30,0,6,0,0,0,18,0,13,0.4,2415.6,2415.6,0,0,514.6,0,0,1441,0,1184.6,570,0.670666666666667,0.966382994445796,0.961666666666667,0.961666666666667,-0.121,0.311750895250768,90091,48592,69
"70","Banning city",2002,23.099,182,138,9,4,0,0,14,34,4,144,0.252747252747253,53386.64,49586.64,1425,0,240,0,1964,3965,2000,39802.64,3027,-0.126703296703297,0.926072387115024,-0.0553296703296703,-0.0553296703296703,-0.0386813186813187,0.236541418429216,619652,314430,70
"71","Barstow city",2002,41.385,129,106,11,7,5,0,18,25,3,87,0.232558139534884,36125,25071,10700,1700,900,0,10125,9579,4100,11656,13129,-0.206589147286822,0.927676445585312,-0.0626356589147287,-0.0626356589147287,-0.0710852713178294,0.297923124286276,703635,376711,71
"72","Bass Lake CDP",2002,1.926,12,4,3,1,0,0,1,2,0,10,0.166666666666667,11703.21,409,981.97,0,100,0,100,200,0,11503.21,200,-0.2275,0.680856746379816,-0.05,-0.05,-0.1775,0.591686726079081,744043,492948,72
"73","Bay Point CDP",2002,6.554,138,117,0,27,0,0,7,11,0,120,0.115942028985507,8667.25,3710.25,0,0,1320,0,4415,1075,0,5452.25,1877,-0.130942028985507,0.717559619010024,-0.0163768115942029,-0.0163768115942029,-0.0307971014492754,0.214928477644276,223754,73083,73
"74","Bayview CDP",2002,0.732,37,37,0,0,0,0,10,0,0,30,0.378378378378378,2184.5,2184.5,0,0,0,0,1960,0,0,584.5,1514,-0.523513513513513,0.599477625456884,-0.547567567567568,-0.547567567567568,0.0240540540540541,0.361804577849082,134240,49507,74
"75","Beale AFB CDP",2002,10.048,3,3,0,0,0,0,2,0,0,1,0,2265,2265,0,0,0,0,2000,0,0,265,0,-0.32,1.16051712611232,-0.573333333333333,-0.573333333333333,-0.0866666666666667,0.0757187779440037,16515,4081,75
"76","Bear Valley CDP",2002,5.156,3,3,0,0,0,0,0,0,0,3,0.333333333333333,275,275,0,0,0,0,0,0,0,275,125,0.57,0.98726896031426,0.316666666666667,0.316666666666667,0.253333333333333,0.438786204584116,118186,71978,76
"77","Bear Valley Springs CDP",2002,41.485,56,56,0,3,0,0,10,15,0,36,0.25,7877.45,7877.45,0,0,1010,0,1545.5,3915,0,2852.45,2300,0.207678571428571,1.10009750158202,0.284285714285714,0.284285714285714,-0.02125,0.386207963290623,110651,74566,77
"78","Beaumont city",2002,30.912,112,59,7,1,0,0,11,34,0,70,0.232142857142857,59435.24,8239.06,6385,0,10000,0,6540,29585,0,23800.24,5595,0.0873214285714286,0.906839857077051,0.0297321428571429,0.0297321428571429,-0.0174107142857143,0.132941398291373,633062,330096,78
"79","Bell Canyon CDP",2002,3.621,94,90,3,7,6,0,16,27,1,49,0.329787234042553,71194.72,69863.47,331.25,3440,8350,0,46070,9255,35,14834.72,50555,0.341489361702128,0.928423287601554,0.360531914893617,0.360531914893617,0.0684042553191489,0.357028667236973,111135,43825,79
"80","Bell city",2002,2.501,442,184,57,8,0,0,77,33,2,333,0.101809954751131,192791.12,43631.22,95080.8,0,5530,0,117655.25,15290,1250,68863.12,33265,-0.494954751131222,0.687076439873378,-0.426628959276018,-0.426628959276018,-0.0528280542986425,0.217234551087594,188019,69878,80
"81","Bell Gardens city",2002,2.459,260,94,91,1,0,0,75,19,3,173,0.215384615384615,501766.34,8588.59,476500,0,200,0,424900,19100,2100,154766.34,212183.75,-0.427807692307692,0.469414530543103,-0.345,-0.345,-0.0564230769230769,0.320769907922071,216543,67467,81
"82","Bella Vista CDP",2002,22.199,27,23,4,2,0,0,10,13,0,11,0.259259259259259,8472,8232,240,0,600,0,2565,5750,0,597,3240,0.0859259259259259,1.0089074794025,-0.0111111111111111,-0.0111111111111111,0.163703703703704,0.390238074751497,213507,131244,82
"83","Bellflower city",2002,6.117,846,722,43,22,1,2,70,54,3,721,0.112293144208038,116571.45,49643.69,33378.78,250,1429,365,45435,24037.1,650,53654.35,38961,-0.161725768321513,0.77218055985351,-0.132718676122931,-0.132718676122931,-0.0222458628841607,0.198647297860706,396526,114869,83
"84","Belmont city",2002,4.621,654,523,46,39,3,1,164,98,5,400,0.253822629969419,1125292.11,1032706.63,31064.46,2500,5112,100,77994.44,139545,3100,899960.47,184970.39,-0.143975535168196,0.94519633716306,-0.0176758409785933,-0.0176758409785933,-0.0619113149847095,0.364334781290494,217197,88256,84
"85","Belvedere city",2002,0.519,414,399,3,17,2,0,199,62,4,158,0.301932367149758,243316.37,234312.05,300,2000,8194,0,95445.05,41150,1250,118650.37,64791,-0.552004830917874,0.80600355683631,-0.311473429951691,-0.311473429951691,-0.13256038647343,0.407620764471018,153093,60733,85
"86","Ben Lomond CDP",2002,8.36,73,70,0,1,0,0,29,4,0,41,0.410958904109589,17876.99,15226.99,0,0,100,0,11455,1850,0,5631.99,10185,-0.658767123287671,0.726284198287342,-0.262054794520548,-0.262054794520548,-0.0975342465753425,0.247064885887616,777727,459218,86
"87","Benbow CDP",2002,4.881,45,38,4,1,0,0,25,0,0,23,0.244444444444444,5318.25,4423.5,326.25,0,100,0,3081,0,0,2278.25,1568.5,-0.639111111111111,0.839980579381079,-0.522222222222222,-0.522222222222222,-0.0408888888888889,0.440040402185476,111490,48533,87
"88","Bend CDP",2002,2.918,4,4,0,0,0,0,0,2,0,2,0,1450,1450,0,0,0,0,0,1000,0,450,0,0.6525,0.409338897899202,0.5775,0.5775,-0.055,0.245153013442625,105759,68229,88
"89","Benicia city",2002,12.929,1999,1890,61,719,0,0,124,44,1,1850,0.0810405202601301,199736.23,116014.86,41907.27,0,21201.91,0,46611.33,14062.22,300,141627.9,39706.05,-0.345087543771886,0.485420965094491,-0.331565782891446,-0.331565782891446,-0.00264632316158082,0.270830019337983,318658,180729,89
"90","Berkeley city",2002,10.47,5156,4739,175,408,15,2,2364,187,34,2744,0.274825446082234,3275822.63,2723792.42,243312.52,3250,124739.5,250,1367516.32,88356.4,4130,2344884.18,702704.59,-0.924326997672614,0.630758963445941,-0.623512412723041,-0.623512412723041,-0.150100853374709,0.319974097992753,1552654,939193,90
"91","Bermuda Dunes CDP",2002,2.946,104,70,0,2,0,0,29,48,0,47,0.423076923076923,77215.95,19602.95,0,0,600,0,21665,43738,0,46390.95,23475,0.475192307692308,0.835168700787574,0.577019230769231,0.577019230769231,-0.0525,0.414739946594213,275254,200316,91
"92","Berry Creek CDP",2002,57.12,6,6,0,0,0,0,0,1,0,5,0.166666666666667,-241.4,-241.4,0,0,0,0,0,-395,0,153.6,-395,0.136666666666667,0.635001312334602,0.146666666666667,0.146666666666667,-0.01,0.0346410161513775,131046,71984,92
"93","Bertsch-Oceanview CDP",2002,5.487,23,14,0,4,0,0,13,3,0,7,0.217391304347826,19302,3902,0,0,255,0,17570,1700,0,32,13925,-0.490869565217391,0.460127581551408,-0.212173913043478,-0.212173913043478,-0.0708695652173913,0.501859388524119,2110,1254,93
"94","Bethel Island CDP",2002,5.564,35,21,0,0,0,0,4,0,0,31,0.2,14033.97,1725.69,0,0,0,0,10125,0,0,8408.97,1044,-0.271428571428571,0.557210187700576,-0.230285714285714,-0.230285714285714,-0.0411428571428571,0.049215697434351,36257,14356,94
"95","Beverly Hills city",2002,5.708,7920,6096,474,457,21,18,4186,942,88,2900,0.28459595959596,14815940.38,7257752.98,2703540.74,13341.25,913059.2,47204.23,8725011.54,1609990.82,128691.38,6766964.05,4318172.02,-0.443142676767677,0.701637278378083,-0.314873737373737,-0.314873737373737,-0.099155303030303,0.475960006344553,566465,186705,95
"96","Bieber CDP",2002,1.637,14,14,0,4,0,0,0,0,2,10,0.571428571428571,469,469,0,0,400,0,0,0,200,69,230,-0.87,0.196899036994168,-0.788571428571429,-0.788571428571429,-0.0814285714285714,0.0140642169281549,22540,13852,96
"97","Big Bear City CDP",2002,31.954,54,44,1,5,0,0,7,6,0,41,0.166666666666667,9906.53,6227.53,500,0,457,0,2555,1075,0,7861.53,2100,-0.293333333333333,0.890539374400981,-0.215,-0.215,-0.115,0.317375737085503,588998,363914,97
"98","Big Bear Lake city",2002,6.346,112,88,14,2,0,0,3,42,0,68,0.321428571428571,26382.23,15041.23,5041,0,600,0,950,10789.22,0,13593.01,13016,0.401339285714286,0.648840262044469,0.443839285714286,0.443839285714286,-0.0271428571428571,0.149957522943194,316524,210199,98
